Measure Mode: ABSORB
StartWaveLength: 1000.0
EndWaveLength:  190.0
Step:   1nm
ID, WaveLength, VALUE
1, 1000.0, -0.005
2,  999.0, -0.005
3,  998.0, -0.005
4,  997.0, -0.005
5,  996.0, -0.005
6,  995.0, -0.005
7,  994.0, -0.005
8,  993.0, -0.005
9,  992.0, -0.005
10,  991.0, -0.004
11,  990.0, -0.004
12,  989.0, -0.004
13,  988.0, -0.004
14,  987.0, -0.004
15,  986.0, -0.004
16,  985.0, -0.004
17,  984.0, -0.004
18,  983.0, -0.003
19,  982.0, -0.003
20,  981.0, -0.003
21,  980.0, -0.003
22,  979.0, -0.003
23,  978.0, -0.003
24,  977.0, -0.003
25,  976.0, -0.003
26,  975.0, -0.002
27,  974.0, -0.002
28,  973.0, -0.002
29,  972.0, -0.002
30,  971.0, -0.002
31,  970.0, -0.002
32,  969.0, -0.002
33,  968.0, -0.002
34,  967.0, -0.002
35,  966.0, -0.002
36,  965.0, -0.002
37,  964.0, -0.002
38,  963.0, -0.002
39,  962.0, -0.002
40,  961.0, -0.002
41,  960.0, -0.002
42,  959.0, -0.002
43,  958.0, -0.002
44,  957.0, -0.003
45,  956.0, -0.003
46,  955.0, -0.003
47,  954.0, -0.003
48,  953.0, -0.003
49,  952.0, -0.003
50,  951.0, -0.002
51,  950.0, -0.002
52,  949.0, -0.002
53,  948.0, -0.002
54,  947.0, -0.002
55,  946.0, -0.002
56,  945.0, -0.002
57,  944.0, -0.002
58,  943.0, -0.002
59,  942.0, -0.002
60,  941.0, -0.002
61,  940.0, -0.002
62,  939.0, -0.002
63,  938.0, -0.002
64,  937.0, -0.002
65,  936.0, -0.002
66,  935.0, -0.002
67,  934.0, -0.002
68,  933.0, -0.002
69,  932.0, -0.002
70,  931.0, -0.002
71,  930.0, -0.002
72,  929.0, -0.002
73,  928.0, -0.002
74,  927.0, -0.002
75,  926.0, -0.002
76,  925.0, -0.002
77,  924.0, -0.002
78,  923.0, -0.002
79,  922.0, -0.002
80,  921.0, -0.002
81,  920.0, -0.002
82,  919.0, -0.002
83,  918.0, -0.002
84,  917.0, -0.002
85,  916.0, -0.002
86,  915.0, -0.002
87,  914.0, -0.002
88,  913.0, -0.002
89,  912.0, -0.002
90,  911.0, -0.002
91,  910.0, -0.002
92,  909.0, -0.002
93,  908.0, -0.002
95,  906.0, -0.002
96,  905.0, -0.002
97,  904.0, -0.002
98,  903.0, -0.002
99,  902.0, -0.002
100,  901.0, -0.002
101,  900.0, -0.002
102,  899.0, -0.002
103,  898.0, -0.002
104,  897.0, -0.002
105,  896.0, -0.002
106,  895.0, -0.002
107,  894.0, -0.002
108,  893.0, -0.002
109,  892.0, -0.002
110,  891.0, -0.002
111,  890.0, -0.002
112,  889.0, -0.002
113,  888.0, -0.002
114,  887.0, -0.002
115,  886.0, -0.002
116,  885.0, -0.002
117,  884.0, -0.002
118,  883.0, -0.002
119,  882.0, -0.002
120,  881.0, -0.002
121,  880.0, -0.002
122,  879.0, -0.002
123,  878.0, -0.002
124,  877.0, -0.002
125,  876.0, -0.002
126,  875.0, -0.002
127,  874.0, -0.002
128,  873.0, -0.002
129,  872.0, -0.002
130,  871.0, -0.002
131,  870.0, -0.002
132,  869.0, -0.002
133,  868.0, -0.002
134,  867.0, -0.002
135,  866.0, -0.002
136,  865.0, -0.002
137,  864.0, -0.002
138,  863.0, -0.002
139,  862.0, -0.002
140,  861.0, -0.002
141,  860.0, -0.002
142,  859.0, -0.002
143,  858.0, -0.002
144,  857.0, -0.002
145,  856.0, -0.002
146,  855.0, -0.002
147,  854.0, -0.002
148,  853.0, -0.002
149,  852.0, -0.002
150,  851.0, -0.002
151,  850.0, -0.002
152,  849.0, -0.002
153,  848.0, -0.002
154,  847.0, -0.002
155,  846.0, -0.002
156,  845.0, -0.002
157,  844.0, -0.002
158,  843.0, -0.002
159,  842.0, -0.002
160,  841.0, -0.002
161,  840.0, -0.002
162,  839.0, -0.002
163,  838.0, -0.002
164,  837.0, -0.002
165,  836.0, -0.002
166,  835.0, -0.002
167,  834.0, -0.002
168,  833.0, -0.002
169,  832.0, -0.002
170,  831.0, -0.002
171,  830.0, -0.002
172,  829.0, -0.002
173,  828.0, -0.002
174,  827.0, -0.002
175,  826.0, -0.002
176,  825.0, -0.002
177,  824.0, -0.002
178,  823.0, -0.002
179,  822.0, -0.002
180,  821.0, -0.002
181,  820.0, -0.002
182,  819.0, -0.002
183,  818.0, -0.002
184,  817.0, -0.002
185,  816.0, -0.002
186,  815.0, -0.002
187,  814.0, -0.002
188,  813.0, -0.002
189,  812.0, -0.002
190,  811.0, -0.002
191,  810.0, -0.002
192,  809.0, -0.002
193,  808.0, -0.002
194,  807.0, -0.002
195,  806.0, -0.002
196,  805.0, -0.002
197,  804.0, -0.002
198,  803.0, -0.002
199,  802.0, -0.002
200,  801.0, -0.002
201,  800.0, -0.002
202,  799.0, -0.002
203,  798.0, -0.002
204,  797.0, -0.002
205,  796.0, -0.002
206,  795.0, -0.002
207,  794.0, -0.002
208,  793.0, -0.002
209,  792.0, -0.002
210,  791.0, -0.002
211,  790.0, -0.002
212,  789.0, -0.002
213,  788.0, -0.002
214,  787.0, -0.002
215,  786.0, -0.002
216,  785.0, -0.002
217,  784.0, -0.003
218,  783.0, -0.003
219,  782.0, -0.003
220,  781.0, -0.003
221,  780.0, -0.003
222,  779.0, -0.003
223,  778.0, -0.003
224,  777.0, -0.003
225,  776.0, -0.003
226,  775.0, -0.003
227,  774.0, -0.003
228,  773.0, -0.003
229,  772.0, -0.003
230,  771.0, -0.003
231,  770.0, -0.003
232,  769.0, -0.003
233,  768.0, -0.003
234,  767.0, -0.003
235,  766.0, -0.003
236,  765.0, -0.003
237,  764.0, -0.003
238,  763.0, -0.003
239,  762.0, -0.003
240,  761.0, -0.003
241,  760.0, -0.003
242,  759.0, -0.003
243,  758.0, -0.003
244,  757.0, -0.003
245,  756.0, -0.003
246,  755.0, -0.003
247,  754.0, -0.003
248,  753.0, -0.003
249,  752.0, -0.003
250,  751.0, -0.003
251,  750.0, -0.003
252,  749.0, -0.003
253,  748.0, -0.003
254,  747.0, -0.003
255,  746.0, -0.003
256,  745.0, -0.003
257,  744.0, -0.003
258,  743.0, -0.003
259,  742.0, -0.003
260,  741.0, -0.003
261,  740.0, -0.003
262,  739.0, -0.003
263,  738.0, -0.003
264,  737.0, -0.003
265,  736.0, -0.003
266,  735.0, -0.003
267,  734.0, -0.003
268,  733.0, -0.003
269,  732.0, -0.003
270,  731.0, -0.003
271,  730.0, -0.003
272,  729.0, -0.003
273,  728.0, -0.003
274,  727.0, -0.003
275,  726.0, -0.003
276,  725.0, -0.003
277,  724.0, -0.003
278,  723.0, -0.003
279,  722.0, -0.003
280,  721.0, -0.003
281,  720.0, -0.003
282,  719.0, -0.003
283,  718.0, -0.003
284,  717.0, -0.003
285,  716.0, -0.003
286,  715.0, -0.003
287,  714.0, -0.003
288,  713.0, -0.003
289,  712.0, -0.003
290,  711.0, -0.003
291,  710.0, -0.003
292,  709.0, -0.003
293,  708.0, -0.003
294,  707.0, -0.003
295,  706.0, -0.003
296,  705.0, -0.003
297,  704.0, -0.003
298,  703.0, -0.002
299,  702.0, -0.002
300,  701.0, -0.002
301,  700.0, -0.002
302,  699.0, -0.002
303,  698.0, -0.002
304,  697.0, -0.002
305,  696.0, -0.002
306,  695.0, -0.002
307,  694.0, -0.002
308,  693.0, -0.002
309,  692.0, -0.002
310,  691.0, -0.002
311,  690.0, -0.002
312,  689.0, -0.002
313,  688.0, -0.002
314,  687.0, -0.002
315,  686.0, -0.002
316,  685.0, -0.002
317,  684.0, -0.002
318,  683.0, -0.002
319,  682.0, -0.002
320,  681.0, -0.002
321,  680.0, -0.001
322,  679.0, -0.001
323,  678.0, -0.001
324,  677.0, -0.001
325,  676.0, -0.001
326,  675.0, -0.001
327,  674.0, -0.001
328,  673.0, -0.001
329,  672.0, -0.001
330,  671.0, -0.001
331,  670.0, -0.001
332,  669.0, -0.001
333,  668.0, -0.001
334,  667.0, -0.001
335,  666.0, -0.000
336,  665.0, -0.000
337,  664.0, -0.000
338,  663.0, -0.000
339,  662.0, -0.000
340,  661.0,  0.000
341,  660.0,  0.000
342,  659.0,  0.000
343,  658.0,  0.000
344,  657.0,  0.001
345,  656.0,  0.001
346,  655.0,  0.001
347,  654.0,  0.001
348,  653.0,  0.001
349,  652.0,  0.001
350,  651.0,  0.002
351,  650.0,  0.002
352,  649.0,  0.002
353,  648.0,  0.002
354,  647.0,  0.002
355,  646.0,  0.003
356,  645.0,  0.003
357,  644.0,  0.003
358,  643.0,  0.003
359,  642.0,  0.004
360,  641.0,  0.004
361,  640.0,  0.004
362,  639.0,  0.005
363,  638.0,  0.005
364,  637.0,  0.005
365,  636.0,  0.006
366,  635.0,  0.006
367,  634.0,  0.006
368,  633.0,  0.007
369,  632.0,  0.007
370,  631.0,  0.008
371,  630.0,  0.008
372,  629.0,  0.009
373,  628.0,  0.009
374,  627.0,  0.010
375,  626.0,  0.011
376,  625.0,  0.011
377,  624.0,  0.012
378,  623.0,  0.013
379,  622.0,  0.013
380,  621.0,  0.014
381,  620.0,  0.015
382,  619.0,  0.016
383,  618.0,  0.017
384,  617.0,  0.018
385,  616.0,  0.019
386,  615.0,  0.020
387,  614.0,  0.021
388,  613.0,  0.022
389,  612.0,  0.024
390,  611.0,  0.025
391,  610.0,  0.026
392,  609.0,  0.028
393,  608.0,  0.029
394,  607.0,  0.031
395,  606.0,  0.032
396,  605.0,  0.034
397,  604.0,  0.036
398,  603.0,  0.038
399,  602.0,  0.039
400,  601.0,  0.041
401,  600.0,  0.043
402,  599.0,  0.045
403,  598.0,  0.048
404,  597.0,  0.050
405,  596.0,  0.052
406,  595.0,  0.055
407,  594.0,  0.057
408,  593.0,  0.060
409,  592.0,  0.063
410,  591.0,  0.066
411,  590.0,  0.069
412,  589.0,  0.072
413,  588.0,  0.075
414,  587.0,  0.078
415,  586.0,  0.081
416,  585.0,  0.085
417,  584.0,  0.089
418,  583.0,  0.092
419,  582.0,  0.096
420,  581.0,  0.100
421,  580.0,  0.104
422,  579.0,  0.108
423,  578.0,  0.112
424,  577.0,  0.116
425,  576.0,  0.120
426,  575.0,  0.124
427,  574.0,  0.129
428,  573.0,  0.133
429,  572.0,  0.138
430,  571.0,  0.143
431,  570.0,  0.147
432,  569.0,  0.152
433,  568.0,  0.157
434,  567.0,  0.162
435,  566.0,  0.167
436,  565.0,  0.172
437,  564.0,  0.177
438,  563.0,  0.182
439,  562.0,  0.187
440,  561.0,  0.192
441,  560.0,  0.197
442,  559.0,  0.203
443,  558.0,  0.208
444,  557.0,  0.213
445,  556.0,  0.218
446,  555.0,  0.224
447,  554.0,  0.229
448,  553.0,  0.234
449,  552.0,  0.239
450,  551.0,  0.244
451,  550.0,  0.249
452,  549.0,  0.254
453,  548.0,  0.259
454,  547.0,  0.264
455,  546.0,  0.270
456,  545.0,  0.274
457,  544.0,  0.279
458,  543.0,  0.284
459,  542.0,  0.289
460,  541.0,  0.293
461,  540.0,  0.298
462,  539.0,  0.302
463,  538.0,  0.306
464,  537.0,  0.311
465,  536.0,  0.315
466,  535.0,  0.319
467,  534.0,  0.323
468,  533.0,  0.327
469,  532.0,  0.330
470,  531.0,  0.334
471,  530.0,  0.337
472,  529.0,  0.341
473,  528.0,  0.344
474,  527.0,  0.347
475,  526.0,  0.350
476,  525.0,  0.353
477,  524.0,  0.355
478,  523.0,  0.358
479,  522.0,  0.360
480,  521.0,  0.363
481,  520.0,  0.365
482,  519.0,  0.367
483,  518.0,  0.369
484,  517.0,  0.371
485,  516.0,  0.372
486,  515.0,  0.374
487,  514.0,  0.375
488,  513.0,  0.376
489,  512.0,  0.378
490,  511.0,  0.379
491,  510.0,  0.380
492,  509.0,  0.380
493,  508.0,  0.381
494,  507.0,  0.381
495,  506.0,  0.382
496,  505.0,  0.382
497,  504.0,  0.382
498,  503.0,  0.382
499,  502.0,  0.382
500,  501.0,  0.382
501,  500.0,  0.382
502,  499.0,  0.381
503,  498.0,  0.381
504,  497.0,  0.380
505,  496.0,  0.379
506,  495.0,  0.378
507,  494.0,  0.377
508,  493.0,  0.376
509,  492.0,  0.375
510,  491.0,  0.374
511,  490.0,  0.372
512,  489.0,  0.371
513,  488.0,  0.369
514,  487.0,  0.367
515,  486.0,  0.366
516,  485.0,  0.364
517,  484.0,  0.362
518,  483.0,  0.359
519,  482.0,  0.357
520,  481.0,  0.354
521,  480.0,  0.352
522,  479.0,  0.349
523,  478.0,  0.347
524,  477.0,  0.344
525,  476.0,  0.341
526,  475.0,  0.338
527,  474.0,  0.334
528,  473.0,  0.331
529,  472.0,  0.327
530,  471.0,  0.324
531,  470.0,  0.320
532,  469.0,  0.316
533,  468.0,  0.312
534,  467.0,  0.309
535,  466.0,  0.304
536,  465.0,  0.300
537,  464.0,  0.296
538,  463.0,  0.291
539,  462.0,  0.287
540,  461.0,  0.282
541,  460.0,  0.278
542,  459.0,  0.273
543,  458.0,  0.268
544,  457.0,  0.263
545,  456.0,  0.258
546,  455.0,  0.253
547,  454.0,  0.248
548,  453.0,  0.243
549,  452.0,  0.238
550,  451.0,  0.233
551,  450.0,  0.228
552,  449.0,  0.222
553,  448.0,  0.217
554,  447.0,  0.212
555,  446.0,  0.206
556,  445.0,  0.201
557,  444.0,  0.196
558,  443.0,  0.191
559,  442.0,  0.186
560,  441.0,  0.181
561,  440.0,  0.176
562,  439.0,  0.171
563,  438.0,  0.166
564,  437.0,  0.161
565,  436.0,  0.156
566,  435.0,  0.151
567,  434.0,  0.147
568,  433.0,  0.142
569,  432.0,  0.138
570,  431.0,  0.134
571,  430.0,  0.130
572,  429.0,  0.125
573,  428.0,  0.121
574,  427.0,  0.118
575,  426.0,  0.114
577,  424.0,  0.107
578,  423.0,  0.104
579,  422.0,  0.101
580,  421.0,  0.098
581,  420.0,  0.095
582,  419.0,  0.093
583,  418.0,  0.091
584,  417.0,  0.089
585,  416.0,  0.087
586,  415.0,  0.085
587,  414.0,  0.084
588,  413.0,  0.083
589,  412.0,  0.082
590,  411.0,  0.081
591,  410.0,  0.081
592,  409.0,  0.081
593,  408.0,  0.081
594,  407.0,  0.081
595,  406.0,  0.082
596,  405.0,  0.083
597,  404.0,  0.084
598,  403.0,  0.086
599,  402.0,  0.088
600,  401.0,  0.090
601,  400.0,  0.093
602,  399.0,  0.096
603,  398.0,  0.099
604,  397.0,  0.102
605,  396.0,  0.106
606,  395.0,  0.110
607,  394.0,  0.114
608,  393.0,  0.119
609,  392.0,  0.124
610,  391.0,  0.130
611,  390.0,  0.136
612,  389.0,  0.142
613,  388.0,  0.148
614,  387.0,  0.154
615,  386.0,  0.161
616,  385.0,  0.168
