Measure Mode: ABSORB
EndWaveLength:  190.0
Step:   1nm
ID, WaveLength, VALUE
1, 1000.0, -0.008
2,  999.0, -0.008
3,  998.0, -0.008
4,  997.0, -0.008
5,  996.0, -0.008
6,  995.0, -0.008
7,  994.0, -0.008
8,  993.0, -0.008
9,  992.0, -0.007
10,  991.0, -0.007
11,  990.0, -0.007
12,  989.0, -0.007
13,  988.0, -0.007
14,  987.0, -0.007
15,  986.0, -0.007
16,  985.0, -0.007
17,  984.0, -0.007
18,  983.0, -0.007
19,  982.0, -0.007
20,  981.0, -0.007
21,  980.0, -0.007
22,  979.0, -0.007
23,  978.0, -0.007
24,  977.0, -0.007
25,  976.0, -0.007
26,  975.0, -0.007
27,  974.0, -0.007
28,  973.0, -0.007
29,  972.0, -0.007
30,  971.0, -0.007
31,  970.0, -0.007
32,  969.0, -0.007
33,  968.0, -0.007
34,  967.0, -0.006
35,  966.0, -0.006
36,  965.0, -0.006
37,  964.0, -0.006
38,  963.0, -0.006
39,  962.0, -0.006
40,  961.0, -0.006
41,  960.0, -0.006
42,  959.0, -0.006
43,  958.0, -0.006
44,  957.0, -0.006
45,  956.0, -0.006
46,  955.0, -0.006
47,  954.0, -0.006
48,  953.0, -0.006
49,  952.0, -0.006
50,  951.0, -0.006
51,  950.0, -0.006
52,  949.0, -0.005
53,  948.0, -0.005
54,  947.0, -0.005
55,  946.0, -0.005
56,  945.0, -0.005
57,  944.0, -0.005
58,  943.0, -0.005
59,  942.0, -0.005
60,  941.0, -0.005
61,  940.0, -0.005
62,  939.0, -0.005
63,  938.0, -0.005
64,  937.0, -0.005
65,  936.0, -0.005
66,  935.0, -0.005
67,  934.0, -0.005
68,  933.0, -0.005
69,  932.0, -0.005
70,  931.0, -0.005
71,  930.0, -0.005
72,  929.0, -0.005
73,  928.0, -0.005
74,  927.0, -0.005
75,  926.0, -0.005
76,  925.0, -0.005
77,  924.0, -0.005
78,  923.0, -0.005
79,  922.0, -0.005
80,  921.0, -0.005
81,  920.0, -0.005
82,  919.0, -0.005
83,  918.0, -0.005
84,  917.0, -0.005
85,  916.0, -0.005
86,  915.0, -0.005
87,  914.0, -0.005
88,  913.0, -0.005
89,  912.0, -0.005
90,  911.0, -0.005
91,  910.0, -0.005
92,  909.0, -0.005
93,  908.0, -0.005
94,  907.0, -0.005
95,  906.0, -0.005
96,  905.0, -0.005
97,  904.0, -0.005
98,  903.0, -0.005
99,  902.0, -0.005
100,  901.0, -0.005
101,  900.0, -0.005
102,  899.0, -0.005
103,  898.0, -0.005
104,  897.0, -0.005
105,  896.0, -0.005
106,  895.0, -0.005
107,  894.0, -0.005
108,  893.0, -0.005
109,  892.0, -0.005
110,  891.0, -0.005
111,  890.0, -0.005
112,  889.0, -0.005
113,  888.0, -0.005
114,  887.0, -0.005
115,  886.0, -0.005
116,  885.0, -0.005
117,  884.0, -0.005
118,  883.0, -0.005
119,  882.0, -0.005
121,  880.0, -0.005
122,  879.0, -0.004
123,  878.0, -0.005
124,  877.0, -0.004
125,  876.0, -0.004
126,  875.0, -0.005
127,  874.0, -0.004
128,  873.0, -0.004
129,  872.0, -0.004
130,  871.0, -0.005
131,  870.0, -0.005
132,  869.0, -0.004
133,  868.0, -0.004
134,  867.0, -0.004
135,  866.0, -0.004
136,  865.0, -0.004
137,  864.0, -0.004
138,  863.0, -0.004
139,  862.0, -0.004
140,  861.0, -0.004
141,  860.0, -0.004
142,  859.0, -0.004
143,  858.0, -0.004
144,  857.0, -0.004
145,  856.0, -0.004
146,  855.0, -0.004
147,  854.0, -0.004
148,  853.0, -0.004
149,  852.0, -0.004
150,  851.0, -0.004
151,  850.0, -0.004
152,  849.0, -0.004
153,  848.0, -0.004
154,  847.0, -0.004
155,  846.0, -0.004
156,  845.0, -0.004
157,  844.0, -0.004
158,  843.0, -0.004
159,  842.0, -0.004
160,  841.0, -0.004
161,  840.0, -0.004
162,  839.0, -0.004
163,  838.0, -0.004
164,  837.0, -0.004
165,  836.0, -0.004
166,  835.0, -0.004
167,  834.0, -0.004
168,  833.0, -0.004
169,  832.0, -0.004
170,  831.0, -0.004
171,  830.0, -0.004
172,  829.0, -0.004
173,  828.0, -0.004
174,  827.0, -0.004
175,  826.0, -0.004
176,  825.0, -0.004
177,  824.0, -0.004
178,  823.0, -0.004
179,  822.0, -0.004
180,  821.0, -0.004
181,  820.0, -0.004
182,  819.0, -0.004
183,  818.0, -0.004
184,  817.0, -0.004
185,  816.0, -0.004
186,  815.0, -0.004
187,  814.0, -0.004
188,  813.0, -0.004
189,  812.0, -0.004
190,  811.0, -0.004
191,  810.0, -0.004
192,  809.0, -0.004
193,  808.0, -0.004
194,  807.0, -0.004
195,  806.0, -0.004
196,  805.0, -0.004
197,  804.0, -0.004
198,  803.0, -0.004
199,  802.0, -0.004
200,  801.0, -0.004
201,  800.0, -0.004
202,  799.0, -0.004
203,  798.0, -0.004
204,  797.0, -0.004
205,  796.0, -0.004
206,  795.0, -0.004
207,  794.0, -0.004
208,  793.0, -0.004
209,  792.0, -0.004
210,  791.0, -0.004
211,  790.0, -0.004
212,  789.0, -0.004
213,  788.0, -0.004
214,  787.0, -0.004
215,  786.0, -0.004
216,  785.0, -0.004
217,  784.0, -0.004
218,  783.0, -0.004
219,  782.0, -0.004
220,  781.0, -0.004
221,  780.0, -0.004
222,  779.0, -0.004
223,  778.0, -0.004
224,  777.0, -0.004
225,  776.0, -0.004
226,  775.0, -0.004
227,  774.0, -0.004
228,  773.0, -0.004
229,  772.0, -0.004
230,  771.0, -0.004
231,  770.0, -0.004
232,  769.0, -0.004
233,  768.0, -0.004
234,  767.0, -0.004
235,  766.0, -0.004
236,  765.0, -0.004
237,  764.0, -0.004
238,  763.0, -0.004
239,  762.0, -0.004
240,  761.0, -0.004
242,  759.0, -0.004
243,  758.0, -0.004
244,  757.0, -0.004
245,  756.0, -0.004
246,  755.0, -0.004
247,  754.0, -0.004
248,  753.0, -0.004
249,  752.0, -0.004
250,  751.0, -0.004
251,  750.0, -0.004
252,  749.0, -0.004
253,  748.0, -0.004
254,  747.0, -0.004
255,  746.0, -0.004
256,  745.0, -0.004
257,  744.0, -0.004
258,  743.0, -0.004
259,  742.0, -0.004
260,  741.0, -0.004
261,  740.0, -0.004
262,  739.0, -0.004
263,  738.0, -0.004
264,  737.0, -0.004
265,  736.0, -0.004
266,  735.0, -0.004
267,  734.0, -0.004
268,  733.0, -0.004
269,  732.0, -0.004
270,  731.0, -0.004
271,  730.0, -0.004
272,  729.0, -0.004
273,  728.0, -0.004
274,  727.0, -0.004
275,  726.0, -0.004
276,  725.0, -0.004
277,  724.0, -0.004
278,  723.0, -0.004
279,  722.0, -0.004
280,  721.0, -0.003
