Measure Mode: ABSORB
StartWaveLength: 1000.0
EndWaveLength:  190.0
Step:   1nm
ID, WaveLength, VALUE
1, 1000.0, -0.001
2,  999.0, -0.001
3,  998.0, -0.001
4,  997.0, -0.001
5,  996.0, -0.002
6,  995.0, -0.002
7,  994.0, -0.002
8,  993.0, -0.002
9,  992.0, -0.002
10,  991.0, -0.003
11,  990.0, -0.003
12,  989.0, -0.003
13,  988.0, -0.003
14,  987.0, -0.004
15,  986.0, -0.004
16,  985.0, -0.004
17,  984.0, -0.004
18,  983.0, -0.004
19,  982.0, -0.005
20,  981.0, -0.005
21,  980.0, -0.005
22,  979.0, -0.005
23,  978.0, -0.005
24,  977.0, -0.005
25,  976.0, -0.006
26,  975.0, -0.006
27,  974.0, -0.006
28,  973.0, -0.006
29,  972.0, -0.006
30,  971.0, -0.006
31,  970.0, -0.006
32,  969.0, -0.007
33,  968.0, -0.007
34,  967.0, -0.007
35,  966.0, -0.007
36,  965.0, -0.007
37,  964.0, -0.007
38,  963.0, -0.007
39,  962.0, -0.007
40,  961.0, -0.007
41,  960.0, -0.006
42,  959.0, -0.006
43,  958.0, -0.006
44,  957.0, -0.005
45,  956.0, -0.005
46,  955.0, -0.005
47,  954.0, -0.004
48,  953.0, -0.004
49,  952.0, -0.004
50,  951.0, -0.003
51,  950.0, -0.003
52,  949.0, -0.003
53,  948.0, -0.002
54,  947.0, -0.002
55,  946.0, -0.002
56,  945.0, -0.002
57,  944.0, -0.001
58,  943.0, -0.001
59,  942.0, -0.001
60,  941.0, -0.001
61,  940.0, -0.001
62,  939.0, -0.001
63,  938.0, -0.001
64,  937.0, -0.001
65,  936.0, -0.001
66,  935.0, -0.001
67,  934.0, -0.001
68,  933.0, -0.000
69,  932.0, -0.000
70,  931.0, -0.000
71,  930.0, -0.000
72,  929.0, -0.000
73,  928.0,  0.000
74,  927.0,  0.000
75,  926.0,  0.000
76,  925.0,  0.000
77,  924.0,  0.000
78,  923.0,  0.000
79,  922.0,  0.000
80,  921.0,  0.000
81,  920.0,  0.000
82,  919.0,  0.001
83,  918.0,  0.001
84,  917.0,  0.001
85,  916.0,  0.001
86,  915.0,  0.001
87,  914.0,  0.001
88,  913.0,  0.001
89,  912.0,  0.001
90,  911.0,  0.001
91,  910.0,  0.001
92,  909.0,  0.001
93,  908.0,  0.001
94,  907.0,  0.001
95,  906.0,  0.001
96,  905.0,  0.001
97,  904.0,  0.001
98,  903.0,  0.001
99,  902.0,  0.001
100,  901.0,  0.001
101,  900.0,  0.001
102,  899.0,  0.001
103,  898.0,  0.001
104,  897.0,  0.001
105,  896.0,  0.001
106,  895.0,  0.001
107,  894.0,  0.001
108,  893.0,  0.001
109,  892.0,  0.001
110,  891.0,  0.001
112,  889.0,  0.001
113,  888.0,  0.001
114,  887.0,  0.001
115,  886.0,  0.001
116,  885.0,  0.001
117,  884.0,  0.001
118,  883.0,  0.001
119,  882.0,  0.001
120,  881.0,  0.001
121,  880.0,  0.001
122,  879.0,  0.001
123,  878.0,  0.001
124,  877.0,  0.001
125,  876.0,  0.001
126,  875.0,  0.001
127,  874.0,  0.001
128,  873.0,  0.001
129,  872.0,  0.001
130,  871.0,  0.001
131,  870.0,  0.001
132,  869.0,  0.001
133,  868.0,  0.001
134,  867.0,  0.001
135,  866.0,  0.001
136,  865.0,  0.001
137,  864.0,  0.001
138,  863.0,  0.001
139,  862.0,  0.001
140,  861.0,  0.001
141,  860.0,  0.000
142,  859.0,  0.000
143,  858.0,  0.000
144,  857.0,  0.000
145,  856.0,  0.000
146,  855.0,  0.000
147,  854.0,  0.000
148,  853.0,  0.000
149,  852.0,  0.000
150,  851.0,  0.000
151,  850.0,  0.000
152,  849.0,  0.000
153,  848.0,  0.000
154,  847.0,  0.000
155,  846.0,  0.000
156,  845.0,  0.000
157,  844.0,  0.000
158,  843.0,  0.000
159,  842.0,  0.000
160,  841.0,  0.000
161,  840.0,  0.000
162,  839.0,  0.000
163,  838.0,  0.000
164,  837.0,  0.000
165,  836.0,  0.000
166,  835.0,  0.000
167,  834.0,  0.000
168,  833.0,  0.000
169,  832.0,  0.001
170,  831.0,  0.001
171,  830.0,  0.001
172,  829.0,  0.001
173,  828.0,  0.001
174,  827.0,  0.001
175,  826.0,  0.001
176,  825.0,  0.001
177,  824.0,  0.001
178,  823.0,  0.001
179,  822.0,  0.001
180,  821.0,  0.001
181,  820.0,  0.001
182,  819.0,  0.001
183,  818.0,  0.001
184,  817.0,  0.001
185,  816.0,  0.001
186,  815.0,  0.001
187,  814.0,  0.001
188,  813.0,  0.001
189,  812.0,  0.001
190,  811.0,  0.001
191,  810.0,  0.001
192,  809.0,  0.001
193,  808.0,  0.001
194,  807.0,  0.001
195,  806.0,  0.001
196,  805.0,  0.001
197,  804.0,  0.001
198,  803.0,  0.001
199,  802.0,  0.001
200,  801.0,  0.001
201,  800.0,  0.001
202,  799.0,  0.001
203,  798.0,  0.001
204,  797.0,  0.001
205,  796.0,  0.001
206,  795.0,  0.001
207,  794.0,  0.001
208,  793.0,  0.001
209,  792.0,  0.001
210,  791.0,  0.001
211,  790.0,  0.002
212,  789.0,  0.002
213,  788.0,  0.002
214,  787.0,  0.002
215,  786.0,  0.002
216,  785.0,  0.002
217,  784.0,  0.002
218,  783.0,  0.002
219,  782.0,  0.002
220,  781.0,  0.002
221,  780.0,  0.002
222,  779.0,  0.002
223,  778.0,  0.002
224,  777.0,  0.002
225,  776.0,  0.002
226,  775.0,  0.002
227,  774.0,  0.002
228,  773.0,  0.002
229,  772.0,  0.002
230,  771.0,  0.002
231,  770.0,  0.002
232,  769.0,  0.002
233,  768.0,  0.002
234,  767.0,  0.002
235,  766.0,  0.002
236,  765.0,  0.002
237,  764.0,  0.002
238,  763.0,  0.002
239,  762.0,  0.002
240,  761.0,  0.002
241,  760.0,  0.002
242,  759.0,  0.002
243,  758.0,  0.002
244,  757.0,  0.002
245,  756.0,  0.002
246,  755.0,  0.002
247,  754.0,  0.002
248,  753.0,  0.002
249,  752.0,  0.002
250,  751.0,  0.002
251,  750.0,  0.002
252,  749.0,  0.002
253,  748.0,  0.002
254,  747.0,  0.002
255,  746.0,  0.002
256,  745.0,  0.002
257,  744.0,  0.002
258,  743.0,  0.002
259,  742.0,  0.002
260,  741.0,  0.002
261,  740.0,  0.002
262,  739.0,  0.002
263,  738.0,  0.002
264,  737.0,  0.002
265,  736.0,  0.002
266,  735.0,  0.002
267,  734.0,  0.003
268,  733.0,  0.003
269,  732.0,  0.003
270,  731.0,  0.003
271,  730.0,  0.003
272,  729.0,  0.003
273,  728.0,  0.003
274,  727.0,  0.003
275,  726.0,  0.003
276,  725.0,  0.003
277,  724.0,  0.003
278,  723.0,  0.003
279,  722.0,  0.003
280,  721.0,  0.003
281,  720.0,  0.003
282,  719.0,  0.004
283,  718.0,  0.004
284,  717.0,  0.004
285,  716.0,  0.004
286,  715.0,  0.004
287,  714.0,  0.004
288,  713.0,  0.004
289,  712.0,  0.004
290,  711.0,  0.004
291,  710.0,  0.004
292,  709.0,  0.004
293,  708.0,  0.004
294,  707.0,  0.004
295,  706.0,  0.004
296,  705.0,  0.004
297,  704.0,  0.004
298,  703.0,  0.004
299,  702.0,  0.004
300,  701.0,  0.005
301,  700.0,  0.005
302,  699.0,  0.005
303,  698.0,  0.005
304,  697.0,  0.005
305,  696.0,  0.005
306,  695.0,  0.005
307,  694.0,  0.005
308,  693.0,  0.005
309,  692.0,  0.005
310,  691.0,  0.005
311,  690.0,  0.005
312,  689.0,  0.006
313,  688.0,  0.006
314,  687.0,  0.006
315,  686.0,  0.006
316,  685.0,  0.006
317,  684.0,  0.006
318,  683.0,  0.006
319,  682.0,  0.006
320,  681.0,  0.006
321,  680.0,  0.006
322,  679.0,  0.006
323,  678.0,  0.007
324,  677.0,  0.007
325,  676.0,  0.007
326,  675.0,  0.007
327,  674.0,  0.007
328,  673.0,  0.007
329,  672.0,  0.007
330,  671.0,  0.007
331,  670.0,  0.007
332,  669.0,  0.007
333,  668.0,  0.008
334,  667.0,  0.008
335,  666.0,  0.008
336,  665.0,  0.008
337,  664.0,  0.008
338,  663.0,  0.008
339,  662.0,  0.008
340,  661.0,  0.009
341,  660.0,  0.009
342,  659.0,  0.009
343,  658.0,  0.009
344,  657.0,  0.009
345,  656.0,  0.009
346,  655.0,  0.010
347,  654.0,  0.010
348,  653.0,  0.010
349,  652.0,  0.010
350,  651.0,  0.011
351,  650.0,  0.011
352,  649.0,  0.011
353,  648.0,  0.011
354,  647.0,  0.012
355,  646.0,  0.012
356,  645.0,  0.012
357,  644.0,  0.013
358,  643.0,  0.013
359,  642.0,  0.013
360,  641.0,  0.014
361,  640.0,  0.014
362,  639.0,  0.014
363,  638.0,  0.015
364,  637.0,  0.015
365,  636.0,  0.016
366,  635.0,  0.016
367,  634.0,  0.017
368,  633.0,  0.017
369,  632.0,  0.018
