StartWaveLength: 1000.0
EndWaveLength:  190.0
Step:   1nm
ID, WaveLength, VALUE
1, 1000.0,  0.046
2,  999.0,  0.046
3,  998.0,  0.046
4,  997.0,  0.046
5,  996.0,  0.046
6,  995.0,  0.047
7,  994.0,  0.047
8,  993.0,  0.048
9,  992.0,  0.048
10,  991.0,  0.048
11,  990.0,  0.049
12,  989.0,  0.049
13,  988.0,  0.049
14,  987.0,  0.049
15,  986.0,  0.049
16,  985.0,  0.050
17,  984.0,  0.050
18,  983.0,  0.051
19,  982.0,  0.051
20,  981.0,  0.052
21,  980.0,  0.053
22,  979.0,  0.053
23,  978.0,  0.054
24,  977.0,  0.055
25,  976.0,  0.055
26,  975.0,  0.055
27,  974.0,  0.054
28,  973.0,  0.054
29,  972.0,  0.054
30,  971.0,  0.053
31,  970.0,  0.054
32,  969.0,  0.053
33,  968.0,  0.052
34,  967.0,  0.052
35,  966.0,  0.051
36,  965.0,  0.050
37,  964.0,  0.049
38,  963.0,  0.048
39,  962.0,  0.048
40,  961.0,  0.046
41,  960.0,  0.046
42,  959.0,  0.045
43,  958.0,  0.045
44,  957.0,  0.045
45,  956.0,  0.046
46,  955.0,  0.047
47,  954.0,  0.048
48,  953.0,  0.049
49,  952.0,  0.051
50,  951.0,  0.053
51,  950.0,  0.055
52,  949.0,  0.057
53,  948.0,  0.059
54,  947.0,  0.060
55,  946.0,  0.061
56,  945.0,  0.062
57,  944.0,  0.063
58,  943.0,  0.064
59,  942.0,  0.065
60,  941.0,  0.066
61,  940.0,  0.067
62,  939.0,  0.068
63,  938.0,  0.069
64,  937.0,  0.071
65,  936.0,  0.072
66,  935.0,  0.073
67,  934.0,  0.073
68,  933.0,  0.074
69,  932.0,  0.075
70,  931.0,  0.076
71,  930.0,  0.076
72,  929.0,  0.077
73,  928.0,  0.077
74,  927.0,  0.077
75,  926.0,  0.078
76,  925.0,  0.079
77,  924.0,  0.079
78,  923.0,  0.079
79,  922.0,  0.079
80,  921.0,  0.079
81,  920.0,  0.079
82,  919.0,  0.079
83,  918.0,  0.079
84,  917.0,  0.078
85,  916.0,  0.078
86,  915.0,  0.078
87,  914.0,  0.077
88,  913.0,  0.077
89,  912.0,  0.077
90,  911.0,  0.077
91,  910.0,  0.076
92,  909.0,  0.077
93,  908.0,  0.077
94,  907.0,  0.076
95,  906.0,  0.076
96,  905.0,  0.076
97,  904.0,  0.076
98,  903.0,  0.076
99,  902.0,  0.076
100,  901.0,  0.076
101,  900.0,  0.076
102,  899.0,  0.077
103,  898.0,  0.077
104,  897.0,  0.076
105,  896.0,  0.077
106,  895.0,  0.077
107,  894.0,  0.077
108,  893.0,  0.078
109,  892.0,  0.077
110,  891.0,  0.077
111,  890.0,  0.077
112,  889.0,  0.077
113,  888.0,  0.077
114,  887.0,  0.077
115,  886.0,  0.077
116,  885.0,  0.076
118,  883.0,  0.075
119,  882.0,  0.075
120,  881.0,  0.075
121,  880.0,  0.075
122,  879.0,  0.074
123,  878.0,  0.074
124,  877.0,  0.074
125,  876.0,  0.074
126,  875.0,  0.073
127,  874.0,  0.073
128,  873.0,  0.072
129,  872.0,  0.072
130,  871.0,  0.072
131,  870.0,  0.072
132,  869.0,  0.072
133,  868.0,  0.072
134,  867.0,  0.072
135,  866.0,  0.071
136,  865.0,  0.072
137,  864.0,  0.072
138,  863.0,  0.072
139,  862.0,  0.073
140,  861.0,  0.073
141,  860.0,  0.073
142,  859.0,  0.073
143,  858.0,  0.073
144,  857.0,  0.073
145,  856.0,  0.072
146,  855.0,  0.072
147,  854.0,  0.072
148,  853.0,  0.072
149,  852.0,  0.072
150,  851.0,  0.071
151,  850.0,  0.071
152,  849.0,  0.071
153,  848.0,  0.071
154,  847.0,  0.071
155,  846.0,  0.071
156,  845.0,  0.070
157,  844.0,  0.070
158,  843.0,  0.071
159,  842.0,  0.071
160,  841.0,  0.071
161,  840.0,  0.071
162,  839.0,  0.071
163,  838.0,  0.071
164,  837.0,  0.070
165,  836.0,  0.070
166,  835.0,  0.070
167,  834.0,  0.070
168,  833.0,  0.070
169,  832.0,  0.070
170,  831.0,  0.069
171,  830.0,  0.069
172,  829.0,  0.069
173,  828.0,  0.069
174,  827.0,  0.069
175,  826.0,  0.069
176,  825.0,  0.070
177,  824.0,  0.070
178,  823.0,  0.069
179,  822.0,  0.069
180,  821.0,  0.070
181,  820.0,  0.069
182,  819.0,  0.069
183,  818.0,  0.069
184,  817.0,  0.068
185,  816.0,  0.068
186,  815.0,  0.068
187,  814.0,  0.068
188,  813.0,  0.068
189,  812.0,  0.068
190,  811.0,  0.068
191,  810.0,  0.068
192,  809.0,  0.068
193,  808.0,  0.067
194,  807.0,  0.067
195,  806.0,  0.067
196,  805.0,  0.067
197,  804.0,  0.067
198,  803.0,  0.067
199,  802.0,  0.067
200,  801.0,  0.066
201,  800.0,  0.066
202,  799.0,  0.066
203,  798.0,  0.066
204,  797.0,  0.065
205,  796.0,  0.065
206,  795.0,  0.065
207,  794.0,  0.064
208,  793.0,  0.064
209,  792.0,  0.064
210,  791.0,  0.063
211,  790.0,  0.063
212,  789.0,  0.063
213,  788.0,  0.063
214,  787.0,  0.063
215,  786.0,  0.063
216,  785.0,  0.062
217,  784.0,  0.062
218,  783.0,  0.062
219,  782.0,  0.062
220,  781.0,  0.062
221,  780.0,  0.061
222,  779.0,  0.061
223,  778.0,  0.061
224,  777.0,  0.061
225,  776.0,  0.061
226,  775.0,  0.060
227,  774.0,  0.060
228,  773.0,  0.060
229,  772.0,  0.060
230,  771.0,  0.060
231,  770.0,  0.060
232,  769.0,  0.060
233,  768.0,  0.060
234,  767.0,  0.060
235,  766.0,  0.059
236,  765.0,  0.059
237,  764.0,  0.059
239,  762.0,  0.059
240,  761.0,  0.058
241,  760.0,  0.058
242,  759.0,  0.058
243,  758.0,  0.058
244,  757.0,  0.058
245,  756.0,  0.058
246,  755.0,  0.058
247,  754.0,  0.057
248,  753.0,  0.057
249,  752.0,  0.057
250,  751.0,  0.057
251,  750.0,  0.057
252,  749.0,  0.057
253,  748.0,  0.057
254,  747.0,  0.057
255,  746.0,  0.057
256,  745.0,  0.056
257,  744.0,  0.056
258,  743.0,  0.056
259,  742.0,  0.056
260,  741.0,  0.056
261,  740.0,  0.056
262,  739.0,  0.056
263,  738.0,  0.055
264,  737.0,  0.055
265,  736.0,  0.055
266,  735.0,  0.055
267,  734.0,  0.055
268,  733.0,  0.056
269,  732.0,  0.056
270,  731.0,  0.056
271,  730.0,  0.056
272,  729.0,  0.056
273,  728.0,  0.056
274,  727.0,  0.057
275,  726.0,  0.057
276,  725.0,  0.057
277,  724.0,  0.057
278,  723.0,  0.057
279,  722.0,  0.057
280,  721.0,  0.057
281,  720.0,  0.057
282,  719.0,  0.057
283,  718.0,  0.057
284,  717.0,  0.057
285,  716.0,  0.057
286,  715.0,  0.057
287,  714.0,  0.057
288,  713.0,  0.057
289,  712.0,  0.056
290,  711.0,  0.056
291,  710.0,  0.056
292,  709.0,  0.056
293,  708.0,  0.057
294,  707.0,  0.057
295,  706.0,  0.057
296,  705.0,  0.057
297,  704.0,  0.057
298,  703.0,  0.057
299,  702.0,  0.057
300,  701.0,  0.057
301,  700.0,  0.056
302,  699.0,  0.056
303,  698.0,  0.056
304,  697.0,  0.056
305,  696.0,  0.056
306,  695.0,  0.056
307,  694.0,  0.056
308,  693.0,  0.056
309,  692.0,  0.057
310,  691.0,  0.057
311,  690.0,  0.057
312,  689.0,  0.057
313,  688.0,  0.057
314,  687.0,  0.057
315,  686.0,  0.057
316,  685.0,  0.057
317,  684.0,  0.057
318,  683.0,  0.057
319,  682.0,  0.057
320,  681.0,  0.057
321,  680.0,  0.057
322,  679.0,  0.057
323,  678.0,  0.057
324,  677.0,  0.056
325,  676.0,  0.056
326,  675.0,  0.056
327,  674.0,  0.056
328,  673.0,  0.056
329,  672.0,  0.056
330,  671.0,  0.056
331,  670.0,  0.056
332,  669.0,  0.056
333,  668.0,  0.056
334,  667.0,  0.056
335,  666.0,  0.056
336,  665.0,  0.056
337,  664.0,  0.056
338,  663.0,  0.056
339,  662.0,  0.056
340,  661.0,  0.056
341,  660.0,  0.056
342,  659.0,  0.055
343,  658.0,  0.055
344,  657.0,  0.055
345,  656.0,  0.055
346,  655.0,  0.055
347,  654.0,  0.055
348,  653.0,  0.055
349,  652.0,  0.055
350,  651.0,  0.055
351,  650.0,  0.055
352,  649.0,  0.055
353,  648.0,  0.055
354,  647.0,  0.055
355,  646.0,  0.055
356,  645.0,  0.055
357,  644.0,  0.055
358,  643.0,  0.055
365,  636.0,  0.056
366,  635.0,  0.056
367,  634.0,  0.056
368,  633.0,  0.056
369,  632.0,  0.056
370,  631.0,  0.057
371,  630.0,  0.057
372,  629.0,  0.057
373,  628.0,  0.057
374,  627.0,  0.057
375,  626.0,  0.057
376,  625.0,  0.057
377,  624.0,  0.058
378,  623.0,  0.058
379,  622.0,  0.058
380,  621.0,  0.058
381,  620.0,  0.059
382,  619.0,  0.059
383,  618.0,  0.059
384,  617.0,  0.060
385,  616.0,  0.060
386,  615.0,  0.060
387,  614.0,  0.061
388,  613.0,  0.061
389,  612.0,  0.061
390,  611.0,  0.062
391,  610.0,  0.062
392,  609.0,  0.063
393,  608.0,  0.063
394,  607.0,  0.064
395,  606.0,  0.064
396,  605.0,  0.065
397,  604.0,  0.065
398,  603.0,  0.066
399,  602.0,  0.066
400,  601.0,  0.067
401,  600.0,  0.068
402,  599.0,  0.068
403,  598.0,  0.069
